Emp #,Emp First Name,Emp Last Name,Address,Phone,Salary/Wage,Bonus,Pay Category,Title,Bonus Date
1,Matthew,Lopez,"7833 Sleepy Bank, Chignik, Quebec, G7C-6S1, CA",(514) 465-2995,102000,425,Salaried and Bonus,Executive,"9th Nov, 2015"
2,Joshua,Lee,"9355 Easy Passage, Kwigillingok, North Dakota, 58992-1336, US",(701) 570-6520,70000,,Salaried,Staff,
3,Jacob,Walker,"2458 Lost Dale Crescent, Marys Igloo, Kentucky, 40655-3098, US",(502) 140-7612,21,,Hourly,Student,
4,Nicholas,King,"9330 Sunny Mount, Coffee, Missouri, 64902-5119, US", (816) 272-1719,52,,Hourly,Teacher,
5,Andrew,Wright,"8559 Emerald Mountain Highway, Paymaster Landing, Ontario, N1T-5X5, CA, ",(613) 541-7703,0,,Hourly,Volunteer,
6,Daniel,Collins,"2304 Round Glen, Snow Tent, Florida, 32128-2298, US, ",(352) 324-5088,97000,345,Salaried and Bonus,Executive,"24th Nov, 2015"
7,Tyler,Stewart,"4070 Velvet Embers Private, California Bar, Georgia, 39940-7942, US,",(770) 966-3626,21,,Hourly,Student,
8,Josephh,Parker,"2486 Hazy Road, Recreation, Nebraska, 69459-1764, US, ",(308) 912-4478,15,,Hourly,Student,
9,Brandon,Evans,"5904 Little Turnabout, Komak Wuacho, Pennsylvania, 17466-6681, US,",(814) 463-6484,64398,,Salaried,Staff,
10,David,Turner,"7167 Green Byway, Yampa, Arizona, 86355-4880, US, ",(928) 998-7497,19,,Hourly,Student,
11,Jmaes,Scott,"5105 Silver Panda Expressway, Amazon, District of Columbia, 20087-0062, US, ",(202) 010-3238,13,,Hourly,Student,
12,Ryan,Hill,"8274 Fallen Pioneer Circle, Angels Grove, Ohio, 45013-8279, US, ",(440) 740-2390,57200,,Salaried,Teacher,
13,John,Wood,"721 Thunder Drive, Ticaboo, Minnesota, 55488-3630, US, ",(952) 097-7388,81,,Hourly,Teacher,
14,Zachary,Price,"8587 Quaking Front, Experiment, North Dakota, 58528-4314, US,",(701) 962-2607,20,,Hourly,Student,
15,Justin,Ross,"8515 Dewy Bay, War Eagle, Georgia, 39873-1823, US, ",(912) 241-7949,19,,Hourly,Student,
16,William,Perry,"2281 Harvest Vista, Weiner, Rhode Island, 02880-3414, US,",(401) 791-8018,14,,Hourly,Student,
17,Anthony,Jenkins,"1526 Old Willow Moor, Carlock, Missouri, 63479-7680, US, ",(816) 242-7047,14,,Hourly,Student,
18,Robert,Sanders,"9852 Silent End, Cairo, Michigan, 49514-5145, US, ",(947) 810-4376,15,,Hourly,Student,
19,Jonathan,Kelly,"4662 Cozy Ramp, Barefoot, Missouri, 64488-9013, US,",(636) 138-1978,17,,Hourly,Student,
20,Austin,Torres,"1168 Heather Forest Campus, Humble, Minnesota, 55160-1238, US, ",507) 950-5725,21,,Hourly,Student,
21,Alex,Howard,"7849 Stony Hills Arbor, Quicksand, Colorado, 80166-4024, US, ",(719) 364-9072,0,,Hourly,Volunteer,
22,Kyle,Cox,"935 Burning Street, Spider, Missouri, 65393-8870, US, ",(816) 304-9140,78900,,Salaried,Staff,
23,Josephh,Myers,"7881 Honey Grove Autoroute, Typo, Nebraska, 69691-3546, US, ",(531) 306-1284,81000,,Salaried,Teacher,
24,David,Ortiz,"8511 Broad Point, Yeaddiss, Britsh Columbia, V9Y-1G6, CA, ",(250) 347-1406,15,,Hourly,Student,
25,Andrew,Gomez,"9199 Red Rabbit Valley, Squealer Point Landing, Kansas, 67362-8545, US, ",(913) 991-1771,0,,Hourly,Volunteer,
26,David,Webb,"2184 Colonial Chase, Sunday, Tennessee, 38104-4670, US, ",(731) 734-0990,13,,Hourly,Student,
27,Eric,Simpson,"4964 Quiet Nectar Port, Passover, Wyoming, 83140-6855, US, ",(307) 878-7531,67000,,Salaried,Staff,
28,Aaron,Henry,"2969 High Island Bend, Beaver Crossing, Ohio, 45673-7227, US, ",(740) 124-1944,95900,236,Salaried and Bonus,Executive,"18th Nov, 2015"
29,Christian,Tucker,"6186 Umber Glade, Turkeyfoot, Oklahoma, 73978-1401, US,",(580) 840-8756,65000,,Salaried,Staff,
30,Dylan,Boyd,"9044 Merry Hollow, Woodenhawk, Quebec, G1O-7S9, CA,",(438) 989-3294,17,,Hourly,Student,
